date,USA
2002-03-01,157.33
2002-04-01,158.18
2002-05-01,159.24
2002-06-01,160.23
2002-07-01,161.27
2002-08-01,162.27
2002-09-01,163.27
2002-10-01,164.46
2002-11-01,165.38
2002-12-01,166.57
2003-01-01,167.57
2003-02-01,168.65
2003-03-01,169.21
2003-04-01,170.22
2003-05-01,171.15
2003-06-01,171.92
2003-07-01,173.24
2003-08-01,174.51
2003-09-01,175.88
2003-10-01,176.94
2003-11-01,178.35
2003-12-01,179.77
2004-01-01,180.94
2004-02-01,182.37
2004-03-01,183.64
2004-04-01,185.17
2004-05-01,186.92
2004-06-01,188.85
2004-07-01,190.4
2004-08-01,191.76
2004-09-01,193.24
2004-10-01,194.68
2004-11-01,196.48
2004-12-01,198.16
2005-01-01,199.56
2005-02-01,201.09
2005-03-01,203.1
2005-04-01,204.87
2005-05-01,206.56
2005-06-01,208.34
2005-07-01,210.42
2005-08-01,211.97
2005-09-01,213.88
2005-10-01,215.11
2005-11-01,216.57
2005-12-01,217.82
2006-01-01,219.12
2006-02-01,219.6
2006-03-01,220.45
2006-04-01,220.85
2006-05-01,221.42
2006-06-01,221.35
2006-07-01,221.25
2006-08-01,221.81
2006-09-01,221.76
2006-10-01,222.01
2006-11-01,222.71
2006-12-01,222.72
2007-01-01,223.54
2007-02-01,223.63
2007-03-01,224.44
2007-04-01,224.49
2007-05-01,223.37
2007-06-01,222.52
2007-07-01,221.4
2007-08-01,220.39
2007-09-01,219.47
2007-10-01,217.63
2007-11-01,216.18
2007-12-01,215.07
2008-01-01,213.34
2008-02-01,211.95
2008-03-01,210.08
2008-04-01,207.81
2008-05-01,205.42
2008-06-01,204.1
2008-07-01,202.23
2008-08-01,200.21
2008-09-01,198.34
2008-10-01,196.65
2008-11-01,193.09
2008-12-01,192.64
2009-01-01,194.25
2009-02-01,194.47
2009-03-01,192.07
2009-04-01,190.87
2009-05-01,190.83
2009-06-01,190.76
2009-07-01,190.17
2009-08-01,189.83
2009-09-01,189.62
2009-10-01,190.0
2009-11-01,190.55
2009-12-01,188.86
2010-01-01,188.97
2010-02-01,188.11
2010-03-01,187.83
2010-04-01,188.12
2010-05-01,188.08
2010-06-01,186.1
2010-07-01,184.94
2010-08-01,184.81
2010-09-01,183.06
2010-10-01,183.33
2010-11-01,182.64
2010-12-01,181.36
2011-01-01,180.28
2011-02-01,178.67
2011-03-01,176.74
2011-04-01,177.14
2011-05-01,176.7
2011-06-01,177.14
2011-07-01,177.47
2011-08-01,177.08
2011-09-01,178.06
2011-10-01,177.23
2011-11-01,177.79
2011-12-01,178.21
2012-01-01,177.65
2012-02-01,178.23
2012-03-01,179.66
2012-04-01,180.52
2012-05-01,181.63
2012-06-01,182.31
2012-07-01,182.63
2012-08-01,183.98
2012-09-01,184.61
2012-10-01,185.5
2012-11-01,186.43
2012-12-01,187.33
2013-01-01,188.79
2013-02-01,189.93
2013-03-01,191.87
2013-04-01,192.73
2013-05-01,194.26
2013-06-01,195.5
2013-07-01,196.51
2013-08-01,197.11
2013-09-01,198.09
2013-10-01,198.67
2013-11-01,198.72
2013-12-01,199.91
2014-01-01,200.82
2014-02-01,201.56
2014-03-01,202.1
2014-04-01,202.74
2014-05-01,203.13
2014-06-01,204.17
2014-07-01,204.95
2014-08-01,205.79
2014-09-01,206.01
2014-10-01,207.09
2014-11-01,208.16
2014-12-01,209.37
2015-01-01,209.76
2015-02-01,211.24
2015-03-01,211.9
2015-04-01,212.77
2015-05-01,213.91
2015-06-01,214.8
2015-07-01,215.73
2015-08-01,216.26
2015-09-01,217.28
2015-10-01,218.51
2015-11-01,219.52
2015-12-01,220.51
2016-01-01,221.61
2016-02-01,221.68
2016-03-01,223.28
2016-04-01,224.4
2016-05-01,225.43
2016-06-01,226.68
2016-07-01,227.81
2016-08-01,228.9
2016-09-01,230.2
2016-10-01,231.4
2016-11-01,232.34
2016-12-01,233.76
2017-01-01,234.03
2017-02-01,235.26
2017-03-01,236.69
2017-04-01,238.43
2017-05-01,239.61
2017-06-01,240.53
2017-07-01,241.75
2017-08-01,243.32
2017-09-01,244.42
2017-10-01,245.41
2017-11-01,247.07
2017-12-01,248.19
2018-01-01,250.07
2018-02-01,251.7
2018-03-01,252.57
2018-04-01,253.25
2018-05-01,254.46
2018-06-01,255.54
2018-07-01,256.55
2018-08-01,257.81
2018-09-01,258.29
2018-10-01,259.14
2018-11-01,260.66
2018-12-01,261.48
2019-01-01,262.94
2019-02-01,263.62
2019-03-01,264.5
2019-04-01,265.74
2019-05-01,266.93
2019-06-01,267.91
2019-07-01,268.95
2019-08-01,270.05
2019-09-01,271.59
2019-10-01,273.03
2019-11-01,274.63
2019-12-01,276.94
2020-01-01,278.64
2020-02-01,280.56
2020-03-01,281.08
2020-04-01,281.39
2020-05-01,280.36
2020-06-01,283.45
2020-07-01,287.46
2020-08-01,292.51
2020-09-01,297.23
2020-10-01,301.76
2020-11-01,305.4
2020-12-01,309.47
2021-01-01,313.17
2021-02-01,315.87
2021-03-01,320.47
2021-04-01,325.25
2021-05-01,330.64
2021-06-01,336.63
2021-07-01,341.71
2021-08-01,345.8
2021-09-01,349.37
2021-10-01,353.74
2021-11-01,358.68
2021-12-01,363.69
2022-01-01,369.11
2022-02-01,374.21
2022-03-01,378.86
2022-04-01,383.52
2022-05-01,387.08
2022-06-01,388.0
2022-07-01,386.19
2022-08-01,384.59
2022-09-01,385.53
2022-10-01,386.04
2022-11-01,385.94
2022-12-01,386.19
2023-01-01,387.47
2023-02-01,389.91
2023-03-01,391.79
2023-04-01,394.12
2023-05-01,397.22
2023-06-01,399.65
2023-07-01,403.1
2023-08-01,405.73
2023-09-01,407.89
2023-10-01,409.43
2023-11-01,410.77
2023-12-01,412.02
2024-01-01,412.49
2024-02-01,416.68
2024-03-01,417.7
2024-04-01,419.36
2024-05-01,420.18
2024-06-01,421.12
2024-07-01,422.31
2024-08-01,423.92
2024-09-01,426.52
2024-10-01,428.51
2024-11-01,430.19
2024-12-01,432.25
2025-01-01,433.68
2025-02-01,433.96
2025-03-01,434.41
2025-04-01,433.23
2025-05-01,433.45
2025-06-01,433.1
2025-07-01,433.08
2025-08-01,435.05
2025-09-01,434.9
2025-10-01,436.64
2025-11-01,439.34
2025-12-01,440.66
2026-01-01,441.47
2026-02-01,441.43
